,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Jean-Marc Pansa,1,4,7,0,27,79,40,48,0,0,206
Franck Seguela,0,2,0,0,0,0,0,0,0,0,2
Romain Poinas,3,12,2,1,0,0,1,2,0,0,21
Trevis Simpson,219,264,127,64,17,0,39,51,75,23,879
Ike Udanoh,8,158,138,72,192,198,194,251,14,5,1230
Frederic Loubaki,7,0,1,1,0,0,0,1,0,0,10
Willie Solomon,215,53,22,27,0,0,1,7,20,8,353
Thomas Jeram,8,1,2,1,0,0,1,1,0,0,14
Abdoulaye M'Baye,10,29,3,1,0,0,0,2,4,4,53
Ludovic Beyhurst,224,69,23,17,0,0,5,23,2,3,366
Bastien Vautier,0,0,0,0,2,1,3,1,0,0,7
Ibrahima Faye,0,0,4,0,0,0,1,1,0,0,6
Vitalis Chikoko,3,126,102,44,744,386,352,358,11,2,2128
Victor Mopsus,7,2,0,0,0,0,0,0,0,0,9
Ronald Lewis,87,85,37,27,1,0,17,13,28,3,298
Digue Diawara,77,188,93,22,8,3,44,44,13,11,503
Verdell Jones,78,34,26,18,0,0,9,10,4,5,184
Zeke Marshall,0,1,0,0,3,2,2,5,0,0,13
Angel Rodriguez,143,51,41,34,0,0,5,6,30,7,317
Mohamed Hachad,122,173,57,38,14,0,15,48,20,10,497
Ahmad Nivins,0,8,4,2,14,34,20,13,0,0,95
Jonathan Kazadi,81,41,20,10,4,0,21,23,10,2,212
Keaton Grant,469,325,277,122,18,1,57,60,116,47,1492
Adam Mokoka,190,132,92,23,0,1,25,50,19,7,539
J.R. Bremer,38,7,5,3,0,0,0,1,1,1,56
Arizona Reid,6,8,5,1,17,2,4,6,1,0,50
Quentin Goulmy,0,14,8,1,0,1,5,5,0,0,34
Bernard James,0,0,2,1,6,5,8,11,0,0,33
Isaiah Swann,242,131,129,107,60,2,33,17,119,62,902
Jonathan Kyungu,0,0,0,0,0,1,0,0,0,0,1
Lucas Hergott,0,1,0,0,0,0,0,0,0,0,1
Zamal Nixon,736,96,157,138,2,0,5,30,6,8,1178
Thaddeus McFadden,155,32,30,16,0,0,1,6,6,10,256
Noah Burrell,1,0,1,0,0,0,0,0,0,0,2
Martin Imhoff,2,1,1,0,0,0,0,0,0,0,4
Junior M'Bida,0,2,3,2,6,23,5,7,0,0,48
Lucky Jones,143,241,198,90,95,9,33,103,37,15,964
Shawn Huff,62,723,182,123,82,119,102,214,182,16,1805
Ron Howard,2,4,2,0,0,0,1,0,0,0,9
Thomas Gipson,0,3,1,0,14,5,1,16,0,0,40
David Ekembe,2,0,0,0,0,0,0,0,0,0,2
Chester Simmons,332,96,80,121,20,0,14,37,62,21,783
Angel Nunez,13,3,5,4,0,0,0,2,1,1,29
Kenan Bajramovic,1,115,37,90,170,79,58,84,8,1,643
Cliff Hammonds,553,180,54,72,5,1,12,21,13,5,916
Vincent Fauche,5,0,0,1,0,0,0,0,0,0,6
Arthur Leboeuf,1,0,0,1,0,0,0,0,0,0,2
Anthony Dobbins,12,13,5,2,0,0,2,5,3,1,43
MIcah Downs,22,10,8,3,0,0,7,6,4,3,63
Kwame Vaughn,372,86,86,95,22,0,32,23,24,13,753
Shawn King,0,1,12,3,63,36,40,72,0,1,228
Turnover,0,18857,0,0,0,13629,5185,0,0,0,37671
Aaron Craft,688,144,124,81,17,0,50,75,15,31,1225
Elmedin Kikanovic,9,277,173,29,986,761,519,424,21,5,3204
Chris Lofton,297,187,101,196,0,0,14,36,173,56,1060
D.J. Stephens,13,336,134,36,20,31,111,122,25,2,830
Damien Inglis,10,144,68,54,177,46,49,43,15,2,608
David Logan,553,218,215,187,1,0,18,39,274,77,1582
Miro Bilan,2,108,148,34,1172,411,440,501,10,0,2826
Levi Randolph,42,40,36,7,8,1,22,11,15,10,192
Josh Carter,59,133,26,5,7,8,12,27,43,10,330
Dru Joyce,2466,371,349,388,4,0,26,78,69,102,3853
Danny Gibson,609,98,97,70,0,0,5,18,22,19,938
Kenny Hayes,1123,213,220,326,21,0,22,42,79,57,2103
Mathieu Nzita,2,1,1,2,0,0,0,0,0,1,7
Jean-Baptiste Maille,231,33,38,15,9,0,5,27,1,8,367
Justin Harper,1,115,41,8,55,62,12,19,11,1,325
Julian Gamble,1,35,130,65,553,325,224,249,5,1,1588
Charles Kahudi,54,265,76,85,131,8,57,95,46,10,827
Alpha Kaba,1,73,75,22,78,172,161,256,5,0,843
Rion Brown,82,158,103,18,8,2,28,24,77,18,518
Valentin Bigote,229,283,185,42,0,1,68,56,115,48,1027
Jonathan Augustin-Fairell,0,7,3,3,13,16,10,11,0,0,63
Rasheed Sulaimon,464,242,146,90,4,0,23,26,60,27,1082
Markus Kennedy,0,8,4,6,33,37,27,32,0,0,147
Chris Dowe,203,73,67,20,31,1,25,27,22,7,476
Ken Horton,4,361,108,11,50,54,82,77,62,3,812
Kyan Anderson,876,204,157,159,0,0,13,23,38,40,1510
Justin Edwards,56,20,7,6,0,0,1,7,2,2,101
Bathiste Tchouaffe,57,87,36,7,1,0,4,14,13,8,227
Chris Johnson,65,229,107,22,44,72,81,111,78,15,824
Robert Arnold,446,225,164,132,39,1,58,73,85,41,1264
Taylor Smith,4,30,77,11,274,232,271,230,4,2,1135
Raymond Cowels,133,136,72,28,2,2,37,33,107,27,577
Terry Allen,9,218,63,35,78,71,40,56,27,4,601
Jordan Tolbert,2,25,13,6,54,37,42,65,6,0,250
J.R. Reynolds,652,189,107,126,1,0,9,31,61,25,1201
Corentin Lopez,2,5,1,0,0,0,0,1,0,0,9
Matthias Flosse,2,1,0,0,1,0,3,1,0,0,8
Theo Bouteille,1,0,0,0,0,0,0,0,0,1,2
Lucas Bourhis,18,3,1,0,0,0,0,3,1,2,28
Ivan Fevrier,1,86,25,4,11,10,21,30,10,9,207
Vincent Sanford,644,248,229,91,22,0,69,67,77,46,1493
Boris Diaw,3,61,16,10,182,66,33,50,6,2,429
Tyler Harvey,114,129,74,9,0,0,10,10,58,28,432
Gavin Ware,1,30,35,2,171,253,161,92,3,1,749
Viktor Gaddefors,35,85,45,13,28,9,24,15,8,3,265
Sylvain Francisco,75,35,35,11,0,0,1,5,1,4,167
Bastien Pinault,119,154,84,11,3,0,29,22,112,19,553
Etienne Ca,1,7,16,2,5,31,53,29,0,0,144
Arthur Rozenfeld,310,70,24,38,1,0,3,12,15,8,481
Aurelien Salmon,0,57,19,2,33,30,19,20,6,1,187
Quincy Diggs,458,164,175,180,12,0,23,76,33,25,1146
Khalid Boukichou,1,29,18,6,113,29,18,26,0,0,240
Babacar Niasse,9,20,5,0,0,0,2,2,3,0,41
Nate Wolters,408,62,81,77,1,0,18,21,10,17,695
Jerome Sanchez,99,172,87,16,61,5,46,63,21,13,583
Pierre-Etienne Drouault,85,137,92,19,15,0,28,31,24,11,442
Arnaud Kerckhof,117,14,5,8,0,0,4,4,0,2,154
Alexandre Aygalenq,14,39,10,0,0,0,7,7,8,3,88
Adrien Labanere,5,2,3,0,0,0,0,2,0,0,12
Killian Hayes,500,73,77,57,0,0,5,18,5,15,750
Toddrick Gotcher,391,317,181,55,14,3,40,106,198,31,1336
Yancy Gates,1,40,23,19,169,49,49,55,1,1,407
Melvyn Govindy,0,0,1,0,1,1,2,2,0,0,7
Youri Morose,0,3,0,0,0,0,0,0,0,0,3
Moses Ehambe,94,352,130,45,8,0,26,42,221,43,961
Trae Golden,1167,208,286,236,0,0,35,51,29,54,2066
Jean-Victor Traore,4,193,68,18,68,57,36,66,8,3,521
Dinma Odiakosa,1,4,19,0,63,29,33,45,0,0,194
Samir Gbetkom Bikantchou,12,9,5,7,0,0,0,6,2,0,41
Youssou Ndoye,0,37,97,15,219,184,203,180,3,1,939
Garrett Sim,879,266,142,108,5,0,17,28,99,70,1614
Zachery Peacock,8,336,158,168,384,149,94,105,41,6,1449
Trey Lewis,565,208,153,147,7,3,24,34,91,33,1265
Kevin Cham,26,7,1,4,0,0,0,2,0,3,43
Meredis Houmounou,53,38,13,16,1,0,3,11,1,3,139
Maxime Courby,61,218,108,4,2,3,62,70,44,16,588
Leopold Ca,10,176,60,8,31,36,127,137,9,0,594
LaMonte Ulmer,90,97,57,18,33,3,32,58,42,8,438
Ed Daniel,1,20,28,15,61,76,41,73,3,0,318
Martin Hermannsson,813,197,128,38,8,0,57,26,48,43,1358
John Flowers,79,148,63,54,80,9,34,24,28,10,529
Sadio Doucoure,42,83,90,15,5,1,70,30,12,4,352
Thibault Daval-Braquet,0,8,8,1,7,18,13,11,1,0,67
Meven Le Douarin,0,0,0,0,0,1,0,0,0,0,1
Theo Maledon,329,101,74,24,3,1,9,15,19,19,594
Sofiane Briki,20,23,12,5,0,0,2,7,4,1,74
Dylan Affo Mama,0,1,2,0,4,1,1,4,0,0,13
Damien Larribau,3,3,2,0,0,0,0,1,0,1,10
Isaiah Cousins,87,21,22,12,1,0,3,7,6,1,160
Cliff Alexander,1,16,28,4,112,141,90,79,5,0,476
James Farr,6,116,25,17,95,143,48,72,4,1,527
Brandon Ubel,0,54,28,5,77,46,60,57,6,1,334
Nicolas Dorez,1,4,0,0,1,0,3,1,1,0,11
Tweety Carter,168,87,59,24,0,1,4,7,10,16,376
Lance Jeter,259,108,41,53,20,1,1,20,7,11,521
Junior Zero,1,1,1,0,0,0,1,1,0,0,5
Ndudi Ebi,0,18,5,2,38,21,31,20,2,0,137
Timothee Bazille,1,2,2,0,4,2,1,3,0,0,15
Isaac Mayembo,0,5,3,2,4,0,7,9,0,0,30
Tom Wiscart-Goetz,24,11,5,3,0,0,1,1,0,2,47
Terry Tarpey,97,158,101,20,4,4,51,52,14,9,510
Maxence Dadiet,3,3,1,0,0,0,2,0,0,0,9
Alade Aminu,0,28,51,15,108,205,131,86,0,2,626
Luka Asceric,277,136,60,33,15,0,11,48,22,10,612
Tim Eboh,0,1,0,0,1,0,0,1,0,0,3
Thibault Desseignet,5,0,2,0,0,0,0,0,1,1,9
Steve Taylor Jr.,0,5,5,9,22,42,24,18,2,1,128
Louis Rucklin,0,1,0,0,0,0,1,0,0,0,2
Terran Petteway,501,146,132,102,30,5,16,24,41,29,1026
Tautvydas Lydeka,0,4,7,1,17,49,36,24,0,0,138
J.J. Frazier,112,22,26,22,0,0,1,8,3,3,197
Jevohn Shepherd,2,5,3,2,1,0,1,0,0,0,14
Gilvydas Biruta,2,78,30,4,40,52,55,68,7,0,336
Michael Dixon,551,200,168,205,0,0,10,30,52,35,1251
Darnell Jackson,1,94,57,15,285,170,96,136,1,1,856
Daniel Nwaelele,9,9,8,0,0,0,1,3,7,1,38
Stephan Gauthier,9,16,10,1,0,0,3,3,6,1,49
Adam Smith,241,53,41,66,0,1,6,5,60,19,492
A.J. English,316,124,96,66,7,1,6,19,38,17,690
Dustin Ware,149,55,32,39,0,0,0,7,14,10,306
Kris Joseph,15,11,8,1,0,0,1,4,4,0,44
Nic Moore,143,33,12,13,0,0,1,7,8,5,222
Wilfried Gantswa Babami,0,0,1,0,0,0,0,0,0,0,1
Raphiael Putney,0,8,6,0,2,1,3,5,1,1,27
Mel Esso-Essis,0,0,1,0,0,0,0,0,0,0,1
Adreian Payne,1,91,29,11,69,52,22,37,5,1,318
Jarrod Jones,2,377,80,58,242,133,90,116,23,3,1124
Lazeric Jones,1318,204,189,290,23,1,22,40,36,45,2168
Mantas Kalnietis,865,156,98,50,9,1,22,23,26,31,1281
Eric Buckner,8,26,99,19,379,389,297,313,5,0,1535
Demetrius Treadwell,1,15,8,1,51,65,68,53,1,1,264
Nick Johnson,470,124,112,61,30,0,30,27,18,22,894
Armand Mensah,5,1,1,3,0,0,0,1,0,0,11
Obi Emegano,56,173,102,17,17,0,26,22,53,10,476
Donta Smith,87,143,89,50,189,18,27,27,6,5,641
C.J. Harris,905,271,238,139,6,3,24,39,67,46,1738
Akos Keller,0,75,46,13,61,167,154,124,1,2,643
Kendrick Ray,237,52,39,52,1,1,2,7,19,5,415
Mike Green,1289,225,205,183,96,1,9,54,17,25,2104
Dwight Hardy,1033,549,314,170,9,3,225,70,377,109,2859
Sekou Doumbouya,13,83,46,5,23,0,19,24,14,10,237
Jordan Taylor,897,207,161,134,27,0,21,43,19,46,1555
Louis Weber,23,2,2,1,0,0,0,1,1,1,31
Damien Archinard,2,1,0,0,0,0,0,1,0,0,4
Yohan Choupas,44,15,10,10,0,0,0,4,0,0,83
Taurean Green,543,76,62,58,0,0,1,12,20,17,789
Aigars Skele,276,123,67,62,3,0,15,32,30,14,622
Olivier Troisfontaines,40,78,47,4,0,1,4,16,16,3,209
London Perrantes,427,79,51,53,2,0,6,16,17,17,668
Karlton Dimanche,26,9,10,5,0,0,6,16,0,0,72
Ray Cowels,58,108,46,10,1,0,21,30,56,13,343
Quentin Ruel,0,2,1,0,0,0,0,0,0,0,3
Zabian Dowdell,1105,167,180,296,6,0,56,49,31,32,1922
Guy Edi,15,17,10,1,0,0,4,7,0,2,56
Malik Hairston,275,316,120,162,227,5,71,105,48,9,1338
Pierre Pelos,2,143,58,8,118,83,85,67,7,0,571
Mamadou Dia,0,44,4,3,11,43,16,11,1,1,134
Giannis Athinaiou,308,95,34,35,1,0,3,10,20,2,508
Aboulaye M'Baye,15,73,8,7,2,0,12,3,30,3,153
Allan Dokossi,0,1,1,0,1,0,1,2,0,0,6
Anthony Kendall,246,30,23,13,0,0,3,6,1,5,327
Basile David,0,0,1,2,0,0,0,0,0,0,3
Justin Robinson,1654,251,314,231,3,0,21,63,106,54,2697
Mathis Dossou Yovo,1,16,14,1,2,20,29,24,0,0,107
OD Anosike,0,8,27,10,131,35,99,57,0,1,368
Darrell Williams,1,108,74,49,200,80,130,162,10,9,823
Lamonte Ulmer,215,378,207,99,21,0,88,206,145,55,1414
Rob Gray,239,77,106,31,0,0,16,13,12,14,508
Brandyn Curry,313,131,81,38,1,0,11,26,23,22,646
Paul Harris,56,195,158,146,103,2,51,128,34,1,874
Moser Mike,0,90,20,3,14,17,9,14,3,1,171
Roko Ukic,1045,132,78,183,62,0,7,38,19,28,1592
Will Daniels,6,42,13,7,26,18,24,20,8,4,168
Neal Sako,0,0,1,0,4,9,8,17,0,0,39
Benjamin-David Ngondo-Bayela,0,1,0,0,0,0,0,0,0,0,1
Malcolm Cazalon,4,9,10,2,1,0,1,2,1,1,31
Theo Jouvin,1,1,1,0,0,0,0,0,0,0,3
Nikola Knezevic,2,0,0,0,0,0,0,0,0,0,2
Losser Quentin,0,1,0,0,0,0,3,0,0,0,4
Michael Young,18,145,74,61,79,49,51,62,25,0,564
Shawn Tanner,0,1,0,0,0,0,0,0,0,0,1
Anthony Hilliard,557,446,309,161,113,2,75,87,132,89,1971
DeVaughn Akoon Purcell,31,30,27,6,9,0,7,7,9,4,130
Robin Pradines,0,1,2,0,0,0,0,0,0,0,3
Aaron Epps,0,12,7,0,5,7,5,5,0,0,41
Tyler Roberson,0,1,4,1,6,12,22,14,0,1,61
A.J. Pacher,0,33,5,3,6,11,6,7,2,0,73
Florian Pouaveyoun,0,1,1,0,0,0,0,1,0,0,3
Devin Ebanks,19,100,78,48,69,42,60,45,14,6,481
Jayson Tchicamboud,2,2,1,0,0,0,0,0,0,0,5
Theo Rey,2,2,1,2,0,0,0,0,1,0,8
Hugo Besson,19,8,6,0,0,0,2,3,0,1,39
Jouvin Theo,4,1,0,0,0,0,0,0,0,0,5
Thomas Van Ounsem,0,0,0,0,0,0,0,0,1,0,1
Alexis Ajinca,0,6,2,1,15,5,3,3,1,0,36
Nobel Boungou Colo,8,5,5,2,7,0,2,12,6,3,50
Derek Needham,1034,216,182,162,1,1,22,49,57,62,1786
Jacques Eyoum,0,4,3,0,0,1,4,1,0,0,13
Julian Wright,23,158,111,63,83,91,112,140,22,0,803
Melvin Govindy,0,0,0,0,6,4,7,7,0,0,24
Mbaye Ndiaye,1,1,2,0,0,2,3,0,0,0,9
Sydney Hawmmond,0,0,0,0,1,0,1,0,0,0,2
Xavier Gaillou,74,24,7,5,3,0,8,3,5,1,130
Jeffrey Crockett,1,10,8,3,5,3,3,9,0,0,42
Jaraun Burrows,0,10,11,2,11,11,19,15,0,0,79
Brahim Dohou,1,2,1,0,0,0,1,0,0,0,5
Jose Familia,0,0,0,0,0,0,0,1,0,0,1
Louis Adams,3,4,6,2,0,0,1,0,0,0,16
Pape Badji,0,1,2,0,4,10,3,4,0,0,24
Ian Hummer,11,240,197,79,314,193,286,229,27,3,1579
Alexander Abreu,93,11,7,2,0,0,1,3,1,0,118
Kader Sylla Abdel,0,0,3,0,16,7,12,6,0,0,44
Trevor Thompson,0,3,1,0,11,15,6,8,0,0,44
Robert Rothbart,0,6,1,1,13,8,5,8,0,0,42
Endar Poladkhanli,0,0,2,0,0,0,0,0,0,0,2
Daniel Dixon,0,3,1,0,0,0,0,0,0,0,4
Vincent Pota,1,0,0,0,0,0,0,0,0,0,1
Hugo Benitez,48,11,5,0,0,0,3,0,0,3,70
Ognjen Carapic,275,53,59,36,3,1,5,26,8,12,478
Tonye Jekiri,0,30,30,2,151,135,91,138,4,0,581
Dominique Archie,24,235,60,2,43,24,42,67,8,4,509
Rihards Lomazs,18,35,6,3,0,0,1,6,19,1,89
Ismael Bako,0,13,10,0,5,18,25,29,0,0,100
Khalif Wyatt,9,0,2,0,0,0,0,0,0,0,11
Matthew Strazel,35,10,6,4,1,0,0,2,1,1,60
Brandon Taylor,129,50,31,29,7,6,7,7,7,4,277
Sean Armand,1042,438,313,240,28,0,34,100,244,58,2497
Ronald Roberts,0,28,33,10,108,73,93,82,3,0,430
Jaka Klobucar,1399,419,276,299,11,2,50,92,82,95,2725
Joao Paulo Batista,0,10,5,0,48,61,21,20,2,0,167
Jamel Artis,48,79,70,17,36,3,26,26,5,2,312
Briante Weber,187,31,80,30,18,0,25,16,6,7,400
Brandon Jefferson,930,262,210,106,0,0,12,41,44,55,1660
Miralem Halilovic,2,28,36,8,88,93,62,51,17,1,386
Lorenzo Thirouard,0,1,0,0,1,0,1,0,1,0,4
Geoff Groselle,0,6,8,2,49,32,29,39,1,0,166
Cheikh Mbodj,1,9,26,6,78,70,69,75,0,1,335
Gabe York,389,209,168,42,0,2,44,24,147,74,1099
Justin Dentmon,176,54,44,38,2,0,0,9,10,14,347
Scottie Reynolds,595,96,132,65,3,0,21,19,30,27,988
Artsiom Parakhouski,0,40,27,6,364,225,201,225,2,2,1092
Thomas Scrubb,85,300,128,12,15,17,94,126,60,31,868
Tyrus McGee,463,168,120,108,0,0,10,43,56,32,1000
Essome Miyem,0,0,0,0,2,4,5,2,0,0,13
Ronald Moore,620,192,52,47,0,1,10,25,19,29,995
Darius Morris,69,9,17,14,6,0,0,3,2,3,123
Marcus Ginyard,47,75,39,10,18,0,20,12,17,6,244
Benoit Mbala,1,9,2,1,15,2,13,12,1,0,56
Norris Cole,495,93,105,68,0,0,11,14,21,29,836
Kevin Harley,79,27,21,8,0,0,4,8,5,4,156
JJ O'Brien,4,32,8,18,53,18,32,23,1,0,189
Anthony Clemmons,669,176,111,116,10,4,24,45,53,41,1249
Jordan Ratton,0,2,0,0,0,0,0,1,0,0,3
Jonathan Arledge,0,63,17,8,28,15,31,20,5,0,187
Kwan Cheatham,0,22,7,2,6,18,7,11,1,0,74
Peter Jok,16,57,24,8,0,2,2,9,63,11,192
Michael Stockton,1957,447,326,255,1,0,72,93,54,110,3315
D'Angelo Harrison,776,280,257,156,4,0,27,81,80,54,1715
Edgaras Zelionis,0,53,27,2,37,16,30,64,3,0,232
Thomas Smallwood,0,18,1,1,5,15,3,10,0,0,53
Chris Horton,0,44,69,15,54,133,119,136,3,1,574
Jalen Riley,97,46,36,24,0,0,2,8,38,9,260
Ilkan Karaman,1,144,45,24,86,55,59,80,7,0,501
Antonio Ballard,3,31,22,9,15,1,24,28,3,0,136
Marcquise Reed,135,38,69,31,2,0,21,12,28,9,345
Brice Johnson,0,6,4,1,5,10,6,0,0,0,32
Divine Myles,6,1,0,1,0,0,0,0,0,0,8
Steeve Ho you fat,0,44,9,16,33,21,10,32,3,0,168
Clement Cavallo,15,24,14,1,6,0,15,12,3,1,91
Joe Burton,1,11,9,5,71,24,24,29,0,0,174
Thomas Ville,47,15,15,2,1,0,2,4,3,2,91
Patrick Miller,595,144,209,128,22,1,49,63,24,41,1276
Thimothe Crusol,32,20,6,5,0,0,0,1,0,1,65
Badr Moujib,0,0,0,0,0,0,0,0,0,0,0
Dallas Moore,440,150,96,31,0,0,13,21,15,15,781
Damien Bouquet,27,33,8,0,12,0,4,8,6,0,98
Mehdy Ngouama,44,16,7,2,1,0,2,1,1,0,74
Matthieu Gauzin,16,11,6,3,0,0,1,1,1,1,40
Johan Randriamananjara,5,10,4,0,0,0,3,1,0,0,23
Mateo Landry,1,0,0,0,0,0,0,0,1,0,2
Gerald Ayayi,5,3,0,0,0,0,0,1,1,0,10
Vincent Vermillac,0,1,0,0,0,0,0,0,0,0,1
Erik McCree,62,243,133,100,39,32,58,51,60,16,794
Xavi Forcada,47,22,14,7,0,0,3,6,2,3,104
Djibril Marico,0,1,2,0,0,0,0,1,0,0,4
Arthur Bruyas,1,1,1,0,0,0,0,1,2,0,6
Paul Billong,3,2,2,1,0,0,0,0,0,0,8
Hugo Pellure,0,0,1,0,0,0,1,0,0,0,2
Hamady Ndiaye,0,19,6,2,32,95,45,43,4,0,246
Pinero Taqwa,7,14,11,1,0,0,2,2,6,0,43
Dimitri Radnic,2,2,2,0,0,0,0,1,0,0,7
Johndre Jefferson,0,29,56,8,51,147,130,134,0,0,555
Gaetan Meyniel,4,0,2,0,0,0,1,1,0,0,8
Yoan Makoundou,0,1,2,0,0,1,1,2,0,0,7
Anthony da Silva,7,0,1,2,0,0,0,0,0,0,10
Joe Alexander,6,69,36,53,49,17,22,26,15,2,295
Jerai Grant,0,5,11,1,20,29,47,25,0,1,139
Thomas Pottier,0,1,0,0,0,0,0,0,0,0,1
Gaylor Curier,12,28,7,6,1,0,3,10,11,5,83
Adonis Thomas,239,280,93,64,58,4,31,47,36,14,866
Justin Carter,707,249,242,331,89,1,80,171,81,59,2010
Ovidijus Varanauskas,24,16,4,4,0,0,2,0,0,4,54
Florian Leopold,0,1,0,0,0,0,0,0,0,0,1
Billy Garrett,84,23,21,14,5,0,6,2,7,4,166
Hugo Robineau,0,0,0,0,0,0,0,0,0,0,0
Moore Nic,53,22,9,4,0,0,0,0,1,0,89
Anthony Raffa,30,12,8,5,0,0,1,3,2,1,62
Theo Magrit,1,0,0,0,0,0,0,0,0,0,1
Matt Mobley,150,52,64,41,0,2,3,12,32,13,369
Toarlyn Fitzpatrick,36,359,127,77,169,118,80,118,57,3,1144
Michael Umeh,62,53,23,10,0,0,1,4,21,11,185
Tyler Larson,573,102,119,108,28,0,21,31,33,26,1041
Dominique Johnson,601,367,188,138,14,5,26,52,94,26,1511
Paulius Valinskas,16,7,3,2,0,0,1,1,0,0,30
Louis Marnette,0,0,1,0,0,0,0,0,0,0,1
Nolan Smith,323,42,76,74,7,0,21,24,5,16,588
Marino Bazdaric,16,40,22,3,0,0,2,10,3,4,100
Dario Saric,18,319,201,169,270,107,150,169,41,9,1453
Luka Babic,1067,528,293,106,11,0,57,90,57,18,2227
Marin Rozic,81,652,271,70,197,2,117,112,51,18,1571
Davor Kus,78,62,13,8,1,0,2,1,8,7,180
Jusuf Nurkic,0,12,15,2,159,46,31,79,1,0,345
Ivan Siriscevic,62,248,92,29,19,1,19,24,88,23,605
Ivan Ramljak,201,386,192,61,25,12,118,132,39,16,1182
Martin Junakovic,196,27,26,27,0,0,0,6,3,5,290
Ante Delas,359,134,58,31,3,0,6,14,39,16,660
Allan Ray,104,44,19,21,1,0,3,9,11,8,220
Marko Jagodic - Kuridza,2,106,32,18,103,64,91,70,3,1,490
Milenko Tepic,387,306,127,89,76,1,54,91,25,23,1179
Bogdan Bogdanovic,899,349,167,206,78,3,30,69,118,92,2011
Joffrey Lauvergne,2,134,69,14,221,87,90,130,3,1,751
Aleksandar Pavlovic,98,98,70,96,20,0,18,33,52,44,529
Nikola Milutinov,0,58,47,11,438,138,230,343,0,1,1266
Mihajlo Andric,112,438,108,37,55,18,26,53,158,54,1059
Boban Marjanovic,0,12,16,1,310,40,92,133,1,0,605
Branko Lazic,100,445,144,29,3,3,44,105,28,6,907
Charles Jenkins,808,410,243,109,6,2,20,46,60,21,1725
Ivan Radenovic,0,62,22,13,115,60,53,66,5,0,396
Marko Simonovic,24,690,239,98,75,180,105,174,68,10,1663
Aleksa Popovic,391,114,63,86,8,0,23,64,7,27,783
Ratko Varda,0,37,20,20,144,73,47,52,12,0,405
Nemanja Krstic,12,113,65,5,5,2,31,36,21,15,305
Vasilije Micic,1477,279,194,272,67,1,35,61,51,62,2499
Cedomir Vitkovac,0,244,45,66,243,31,91,125,15,2,862
Vladimir Mihailovic,714,319,169,124,23,0,36,38,55,32,1510
Novica Velickovic,39,386,129,98,477,161,82,161,32,10,1575
Nikola Ivanovic,1368,211,136,234,30,0,7,63,35,25,2109
Nikola Jokic,6,103,54,22,111,159,76,115,12,5,663
Milos Komatina,0,85,34,8,50,72,51,64,2,0,366
Nenad Mijatovic,2,1,0,0,0,0,0,0,0,0,3
Aleksandar Capin,556,101,77,80,0,1,15,16,15,27,888
Bojan Subotic,3,442,148,39,247,279,164,179,7,1,1509
Radoje Vujosevic,1,16,10,1,28,73,29,61,0,0,219
Pavle Reljic,12,18,13,0,0,0,5,3,0,0,51
Ivo Baltic,0,2,2,2,1,0,1,3,0,0,11
Nemanja Bezbradica,0,30,14,1,28,5,14,29,0,1,122
Johnathon Jones,605,119,84,151,1,0,2,25,13,24,1024
Dusko Bunic,0,2,42,0,101,164,180,163,0,0,652
Robert Rikic,2,25,38,6,125,162,107,122,0,1,588
Branko Jorovic,5,202,51,28,105,101,37,46,17,0,592
Milan Dozet,13,42,10,1,8,0,9,7,5,2,97
Josip Bilinovac,231,167,84,35,4,0,25,45,21,10,622
Nemanja Gordic,1981,335,231,453,108,1,19,53,24,63,3268
Drago Pasalic,0,47,9,5,90,49,24,21,3,0,248
Uros Nikolic,1,6,5,2,43,52,53,34,0,0,196
Tomislav Petrovic,15,74,17,9,4,1,9,16,5,4,154
Toni Katic,419,168,79,69,0,0,18,20,10,21,804
Boris Bakic,503,116,52,85,6,0,9,50,17,25,863
Karlo Vragovic,34,22,8,10,0,0,0,2,5,1,82
Uros Mirkovic,1,40,3,1,10,9,1,7,0,0,72
Drasko Knezevic,33,8,6,16,0,0,1,5,1,1,71
Ive Ivanov,9,373,103,54,383,102,146,211,16,3,1400
Mark Lyons,565,92,126,105,1,0,5,15,37,31,977
Nebojsa Joksimovic,521,212,104,76,31,0,12,47,72,41,1116
Ivan Batur,14,51,16,8,0,0,9,9,10,3,120
Dragisa Drobnjak,1,98,19,8,93,37,47,67,5,0,375
Marko Ramljak,229,247,129,71,10,1,69,97,38,6,897
Jakov Vladovic,458,81,45,34,0,0,12,22,31,23,706
Alex Stephenson,0,2,30,5,227,80,131,156,2,0,633
Marko Sutalo,165,71,38,27,0,0,3,7,54,17,382
Toni Dijan,1,45,14,2,28,2,33,38,3,0,166
Toni Prostran,131,51,26,21,1,0,4,12,6,6,258
Dino Muric,1,69,29,19,98,14,51,58,5,0,344
Oleksandr Lypovyy,488,332,150,128,78,6,54,144,45,43,1468
Marko Arapovic,1,194,78,13,71,53,132,146,12,2,702
Damjan Stojanovski,520,183,71,91,5,0,13,44,79,53,1059
Sava Lesic,15,411,215,57,419,265,236,276,40,6,1940
Todor Gecevski,0,43,14,3,73,68,26,29,11,1,268
Cade Davis,116,132,54,28,4,2,12,40,36,14,438
Marko Marinovic,693,124,56,185,0,0,8,36,49,35,1186
Uros Lucic,2,179,27,29,136,54,77,59,14,2,579
