,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Egor Vyaltsev,14,16,2,1,0,0,4,0,2,2,41
Kyrylo Fesenko,0,0,1,1,48,9,10,17,0,0,86
Jerome Randle,67,3,7,26,0,0,0,1,2,2,108
Denis Lukashov,22,3,3,1,0,0,1,2,3,1,36
Pavel Krutous,1,1,0,0,0,0,1,2,1,0,6
Richard Hendrix,0,4,1,0,13,5,10,11,0,0,44
Damjan Stojanovski,21,18,6,8,0,0,5,9,9,0,76
Predrag Samardziski,0,3,4,0,26,17,11,20,0,0,81
Vlado Ilievski,90,17,15,12,0,0,1,2,13,9,159
Aleksandar Kostoski,43,13,9,3,0,0,0,0,0,3,71
Bojan Trajkovski,0,26,4,1,19,9,2,8,2,0,71
Darko Sokolov,7,7,1,1,0,0,0,2,0,0,18
Stojan Gjuroski,0,10,3,0,0,0,2,2,0,0,17
Marko Simonovski,4,14,4,1,0,0,2,3,6,1,35
Gert Dorbek,0,0,0,0,0,0,2,2,0,0,4
Tanel Sokk,1,0,0,6,0,0,0,1,0,0,8
Stanislav Tymofeyenko,0,3,1,0,3,1,1,1,0,0,10
Vojdan Stojanovski,69,16,8,10,0,0,4,4,4,0,115
Alex King,0,12,4,0,2,3,0,9,0,0,30
Muhamed Pasalic,4,3,0,0,0,0,0,2,2,0,11
Ljubomir Mladenovski,0,0,0,0,0,0,0,1,0,0,1
Saso Zagorac,0,4,0,0,0,1,0,0,0,0,5
Helgi Magnusson,1,2,1,0,0,0,0,1,1,0,6
Ragnar Nathanaelsson,0,0,0,0,0,1,0,3,0,0,4
Oleksandr Sizov,0,4,0,0,0,0,0,1,0,0,5
Reinar Halik,0,1,0,0,1,1,0,0,0,0,3
Marjan Janevski,0,0,0,0,0,0,0,0,0,0,0
Vladimir Brckov,0,3,1,0,2,0,1,2,0,0,9
Mahdi Kamrani,49,30,22,3,0,0,4,6,3,3,120
Gaku Arao,0,0,2,0,1,1,6,9,0,0,19
Jongkyu Kim,0,44,21,1,13,9,35,24,1,0,148
Tae-Sool Kim,37,18,12,12,0,0,0,3,6,8,96
Sungmin Cho,38,41,29,10,0,0,2,8,38,15,181
Jonghyun Lee,1,15,15,7,21,5,44,17,0,0,125
Tae-Young Moon,10,17,13,5,7,0,8,11,12,2,85
Omar El Ayoubi,1,7,7,0,0,0,0,2,1,0,18
Joseph Aby Kheres,0,2,0,0,2,1,3,2,0,0,10
Donggeun Yang,96,25,28,8,0,0,0,7,13,6,183
Donaldo Hontiveros,3,23,14,1,0,0,1,2,6,2,52
Ranidel De Ocampo,4,83,15,4,10,19,21,28,10,12,206
Joachim Thoss,0,4,3,0,3,3,7,12,2,0,34
Ji Wei Zhao,55,18,11,0,0,0,1,11,0,1,97
Mohamed Hassan Mohamed,37,28,11,13,0,0,0,4,8,0,101
Abdulla Matalkeh,1,6,5,4,5,0,4,7,0,0,32
Vinay Kaushik,4,12,4,3,1,0,1,6,3,0,34
Mohamed Abdulla,0,7,1,0,8,2,10,6,0,1,35
Abdulrahman Mohamed Saad,30,13,6,15,0,0,0,6,1,1,72
Daoud Mosa,34,34,19,10,0,0,4,6,3,0,110
Khalid Abdalla Adam,0,2,2,0,8,2,4,13,0,0,31
Rajesh Prakash Uppar,6,6,2,0,0,0,0,1,0,0,15
