,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Ricky Rubio,284,121,64,20,0,0,9,25,7,16,546
Luis Scola,0,122,105,19,304,167,125,97,20,1,960
Rudy Fernandez,109,103,54,33,0,1,20,37,36,12,405
Juancho Hernangomez,2,53,25,5,5,8,26,35,13,1,173
Pierre Oriola,0,21,10,0,3,8,18,38,1,1,100
Facundo Campazzo,595,74,140,70,0,2,9,24,16,29,959
Patricio Garino,28,80,73,6,12,0,16,20,7,7,249
Marc Gasol,2,50,33,14,166,115,52,30,5,2,469
Nicolas Brussino,88,61,47,6,5,0,10,17,42,11,287
Sergio Llull,282,85,71,39,0,0,2,6,13,17,515
Gabriel Deck,15,61,41,13,51,22,29,38,5,0,275
Pau Ribas,38,31,12,4,0,0,1,4,6,2,98
Marcos Delia,1,2,34,0,40,56,110,53,0,0,296
Willy Hernangomez,1,3,11,2,40,46,29,30,0,0,162
Nicolas Laprovittola,442,91,106,47,0,0,5,21,24,15,751
Luca Vildoza,76,17,15,5,1,0,0,2,1,7,124
Victor Claver,2,68,22,2,5,11,33,52,3,1,199
Tayavek Gallizzi,0,1,6,0,3,6,14,8,0,0,38
Quino Colom,201,22,21,16,0,0,1,11,4,10,286
Lucio Redivo,51,42,28,7,0,0,1,8,22,14,173
Xavier Rabaseda,5,14,4,0,1,0,4,2,0,0,30
Maximo Fjellerup,13,21,19,2,0,0,4,5,5,0,69
Andrew Bogut,4,5,5,2,18,13,42,19,0,2,110
Evan Fournier,157,73,54,30,4,0,18,10,45,30,421
Rudy Gobert,0,2,15,1,33,45,73,80,1,0,250
Nick Kay,2,27,18,2,24,15,60,57,1,0,206
Patrick Mills,107,46,42,25,0,0,26,9,66,13,334
Frank Ntilikina,35,20,10,1,0,0,0,4,6,3,79
Nicolas Batum,97,120,57,33,30,1,49,32,73,48,540
Matthew Dellavedova,172,46,26,30,1,2,5,16,9,19,326
Jock Landale,0,12,13,1,12,6,9,5,0,1,59
Nando de Colo,179,66,53,27,19,0,36,11,37,17,445
Aron Baynes,1,11,11,13,62,48,62,47,2,0,257
Vincent Poirier,0,4,11,0,19,16,18,18,1,0,87
Amath Mbaye,0,33,9,3,2,1,3,6,5,0,62
Chris Goulding,30,47,21,7,0,0,8,4,29,16,162
Andrew Albicy,120,39,7,11,0,0,0,3,1,2,183
Joe Ingles,130,43,42,17,4,1,10,4,16,15,282
Axel Toupane,8,10,8,0,0,0,1,0,2,0,29
Louis Labeyrie,0,7,7,0,8,4,20,16,2,0,64
Mitch Creek,18,28,52,2,10,0,31,28,2,5,176
Bogdan Bogdanovic,352,167,96,94,31,1,34,31,87,69,962
Vojtech Hruban,109,125,72,36,3,1,14,44,47,16,467
Martin KrÃ­z,0,7,9,0,5,0,8,10,0,0,39
Nikola Milutinov,0,0,7,0,30,19,20,17,0,0,93
Ondrej BalvÃ­n,0,6,2,0,18,14,19,14,0,0,73
Tomas Satoransky,104,24,18,17,13,0,10,7,7,9,209
Jaromir Bohacik,120,102,43,38,26,1,6,21,28,7,392
Nikola Jokic,3,22,16,2,82,29,44,31,3,0,232
Patrik Auda,1,55,34,8,50,52,51,33,2,0,286
Vladimir Lucic,5,50,26,1,4,0,26,24,1,1,138
Stefan Jovic,152,62,48,16,0,0,14,25,3,7,327
Miroslav Raduljica,2,32,45,6,222,78,108,57,1,0,551
Martin Peterka,0,29,14,0,5,29,8,17,2,0,104
Vasilije Micic,154,38,24,23,2,1,4,10,3,9,268
Pavel Pumprla,27,81,46,23,35,2,30,29,3,6,282
Stefan Bircevic,0,73,20,0,7,7,27,28,2,0,164
Marko Guduric,27,19,14,3,0,2,4,6,3,2,80
Nemanja Bjelica,76,114,63,89,24,12,30,52,21,5,486
Boban Marjanovic,0,3,6,0,115,14,19,23,1,0,181
Marko Simonovic,2,68,34,2,4,4,32,14,5,2,167
Jakub Sirina,99,36,22,19,0,0,0,7,2,7,192
Tomas Vyoral,2,1,0,0,0,0,0,0,0,0,3
Lukas Palyza,6,58,17,2,0,2,0,5,8,0,98
Myles Turner,0,12,3,3,8,18,10,13,2,0,69
Joe Harris,1,26,8,0,0,0,3,10,8,3,59
A.J. Slaughter,274,33,29,71,0,0,6,12,5,24,454
Adam Waczynski,86,127,44,18,18,1,15,13,59,17,398
Harrison Barnes,3,29,25,7,5,7,12,13,3,1,105
Donovan Mitchell,60,26,18,5,0,1,1,7,2,2,122
Mateusz Ponitka,180,65,90,16,23,0,55,43,4,13,489
Khris Middleton,21,32,10,3,3,2,3,10,8,1,93
Brook Lopez,0,16,1,0,7,8,1,3,0,0,36
Aleksander Balcerowski,0,14,2,0,1,4,3,2,0,1,27
Michal Sokolowski,26,50,33,3,13,0,16,19,4,3,167
Derrick White,42,19,16,3,0,0,11,4,3,7,105
Damian Kulig,0,47,6,5,40,44,24,26,4,2,198
Karol Gruszecki,23,38,21,6,7,0,1,3,7,1,107
Mason Plumlee,0,1,5,0,5,4,13,12,0,0,40
Jaylen Brown,2,24,14,3,2,2,8,12,1,2,70
Lukasz Koszarek,234,45,17,19,0,0,1,13,5,12,346
Dominik Olejniczak,0,0,0,0,6,5,5,2,0,0,18
Aaron Cel,6,95,14,2,14,20,17,19,14,0,201
Kamil Laczynski,69,10,6,4,1,0,1,1,0,0,92
Adam Hrycaniuk,0,4,0,0,26,27,27,33,0,0,117
Mathias Lessort,0,1,15,0,46,16,12,21,0,0,111
Agustin Caffaro,0,2,4,0,0,5,2,5,0,0,18
Kemba Walker,60,20,18,14,0,0,2,5,3,6,128
Blake Schilb,93,67,28,25,19,2,9,11,25,5,284
Marcus Smart,11,10,4,1,1,0,1,2,1,1,32
Cristiano Felicio,0,3,2,0,6,12,5,25,0,0,53
Marcelo Huertas,274,25,23,16,0,0,11,12,5,8,374
Marcos Silva,2,8,2,0,0,0,1,1,1,1,16
Bruno Caboclo,0,26,7,1,3,2,3,6,5,0,53
Alex Garcia,39,58,48,10,32,0,37,14,10,4,252
Anderson Varejao,0,18,13,2,67,45,37,46,1,1,230
Leandro Barbosa,161,44,67,33,4,0,19,8,26,8,370
Vitor Benite,82,58,42,16,0,0,4,10,63,13,288
Marquinhos Vieira,20,46,23,17,9,0,8,10,17,2,152
Rafael Luz,34,8,8,5,0,0,3,6,1,4,69
Dennis Schroder,482,34,57,80,0,0,8,9,20,25,715
Ismet Akpinar,82,48,21,5,0,0,2,10,8,6,182
Khem Birch,0,6,6,0,10,15,14,25,1,0,77
Maximilian Kleber,0,31,7,0,4,13,11,10,4,1,81
Kyle Wiltjer,0,42,14,3,28,18,9,8,12,2,136
Daniel Theis,0,9,11,0,23,35,16,26,0,0,120
Melvin Ejim,5,67,45,13,28,9,22,44,3,2,238
Kevin Pangos,61,15,9,8,0,0,0,2,6,5,106
Paul Zipser,13,17,10,9,11,1,6,6,9,2,84
Cory Joseph,344,42,79,49,8,0,8,26,20,20,596
Brady Heslip,98,85,68,14,0,4,2,11,50,28,360
Johannes Voigtmann,1,28,12,2,24,35,16,25,1,0,144
Conor Morgan,0,19,7,1,1,3,3,5,2,0,41
Robin Benzing,34,119,46,19,54,14,2,9,28,4,329
Maodo Lo,112,22,12,10,0,0,2,4,4,3,169
Philip Scrubb,145,50,40,19,2,0,5,15,15,10,301
Andreas Obst,30,17,7,6,0,0,0,2,14,2,78
Danilo Barthel,0,31,9,7,62,8,16,17,2,0,152
Andrew Nembhard,29,7,7,3,3,0,0,0,2,0,51
Owen Klassen,0,2,5,0,6,6,10,8,0,0,37
Thomas Scrubb,12,47,25,0,0,1,4,19,2,6,116
Kaza Kajami-Keane,6,4,7,1,0,0,0,1,3,0,22
Niels Giffey,26,41,18,6,10,1,15,8,10,4,139
Isaac Fotu,1,35,25,3,86,33,35,42,1,1,262
Melih Mahmutoglu,143,69,33,16,0,0,2,9,41,11,324
Robert Loe,2,54,31,0,16,28,17,49,3,7,207
Semih Erden,0,1,8,2,192,53,55,49,0,0,360
Corey Webster,177,63,36,45,0,0,8,12,54,35,430
Metecan Birsen,8,34,15,4,9,7,15,22,2,0,116
Tai Webster,138,30,63,17,14,0,11,19,6,17,315
Cedi Osman,131,88,60,49,2,10,10,27,27,8,412
Dogus Balbay,40,20,13,3,1,0,11,23,0,1,112
Shea Ili,222,50,55,15,1,0,8,17,2,12,382
Ethan Rusbatch,5,30,17,0,0,2,1,4,9,9,77
Tohi Smith-Milner,0,34,9,0,2,22,17,22,2,2,110
Scottie Wilbekin,103,16,7,13,0,0,0,4,8,2,153
Thomas Abercrombie,6,57,39,11,0,0,23,25,27,31,219
Finn Delany,3,42,21,3,12,9,26,33,5,3,157
Bugrahan Tuncer,76,13,7,1,0,0,4,4,4,2,111
Ege Arar,0,1,1,1,3,8,6,6,0,0,26
Nick Calathes,155,64,41,17,11,1,12,6,2,2,311
Konstantinos Sloukas,176,35,13,19,1,0,1,5,4,4,258
Giannis Antetokounmpo,19,56,54,37,31,5,28,23,6,1,260
Ioannis Bourousis,1,60,21,9,279,100,54,60,1,0,585
Ioannis Papapetrou,6,43,15,1,14,0,7,12,1,0,99
Giannoulis Larentzakis,54,31,10,4,4,3,3,8,1,0,118
Kostas Papanikolaou,13,51,31,2,17,0,26,21,6,0,167
Georgios Printezis,1,57,40,29,104,22,55,18,8,1,335
Thanasis Antetokounmpo,0,22,14,6,9,13,17,17,4,1,103
Marius Grigonis,62,36,8,7,1,0,0,9,16,7,146
Gelvis Solano,151,23,35,38,0,0,1,4,4,5,261
Mantas Kalnietis,684,69,58,36,3,0,15,23,19,24,931
Eulis Baez,8,92,25,46,47,51,28,57,6,6,366
Victor Liz,106,72,82,38,2,0,22,22,46,18,408
Jonas Valanciunas,0,9,9,8,215,81,95,111,0,0,528
Sadiel Rojas,10,37,17,2,12,0,14,36,3,5,136
Luis Montero,19,24,12,9,5,1,7,7,9,3,96
Mindaugas Kuzminskas,29,121,41,22,59,6,36,56,22,5,397
Rigoberto Mendoza,92,49,59,20,1,0,9,18,28,11,287
Rokas Giedraitis,8,30,16,2,0,0,3,17,9,2,87
Lukas Lekavicius,89,21,15,3,0,0,1,2,1,7,139
Renaldas Seibutis,270,100,41,51,3,0,18,24,33,22,562
Ronald Roberts,0,5,3,1,6,11,14,12,0,0,52
Paulius Jankunas,2,54,7,4,52,39,23,17,5,0,203
Dagoberto Pena,9,27,15,3,1,0,2,4,4,1,66
Edgaras Ulanovas,13,25,12,4,33,0,4,13,1,2,107
Jonas Maciulis,40,148,51,35,95,3,33,33,29,14,481
Eloy Vargas,4,46,30,11,43,61,70,66,1,1,333
Arnas Butkevicius,14,16,9,0,0,0,4,8,0,2,53
Juan Garcia,0,10,1,0,1,4,6,4,1,0,27
Mouhammad Faye,24,72,50,10,29,1,10,29,34,4,263
Zaid Abbas,19,44,33,16,30,11,17,30,14,6,220
Xane Dalmeida,296,57,49,16,0,0,7,19,2,8,454
Mousa al-Awadi,35,53,32,5,0,0,0,11,33,18,187
Dar Tucker,145,28,69,59,6,0,9,29,15,13,373
Maurice Ndour,7,40,43,19,32,17,21,19,10,4,212
Yousef Abu Wazaneh,1,7,9,0,7,4,12,27,1,0,68
Youssou Ndoye,0,16,33,3,44,15,35,38,4,0,188
Ahmad al-Hamarsheh,7,27,16,0,1,0,6,16,3,0,76
Fadi Ibrahim,24,8,14,2,0,0,0,0,1,1,50
Lamine Sambe,85,49,35,10,0,0,0,4,13,4,200
Ibrahima Faye,0,17,3,4,5,2,2,8,0,0,41
Amin Abu Hawwas,16,22,21,7,0,0,3,5,9,4,87
Mahmoud Abdeen,170,55,50,16,0,0,0,14,14,24,343
Jordan Dasaqi,1,3,0,0,0,0,0,0,1,0,5
Mohammad Hussein,1,41,21,1,41,45,36,69,8,1,264
Pape Diop,1,7,6,0,0,0,4,6,2,0,26
Macter Gueye,2,6,3,0,0,0,0,1,1,0,13
Milko Bjelica,0,45,4,7,26,16,9,19,0,0,126
Joji Takeuchi,2,67,36,10,47,42,28,46,0,1,279
Yuta Watanabe,38,24,39,8,0,3,8,8,10,7,145
Nikola Vucevic,1,35,10,9,83,29,19,28,4,0,218
Petar Popovic,82,26,27,14,0,0,0,6,3,2,160
Dino Radoncic,3,15,9,3,1,0,5,13,1,0,50
Derek Needham,175,28,17,17,0,0,1,2,6,8,254
Daiki Tanaka,141,53,43,9,0,0,8,15,32,3,304
Nick Fazekas,0,44,17,4,45,35,34,24,7,0,210
Seiya Ando,13,5,2,2,0,0,0,1,0,1,24
Makoto Hiejima,244,81,78,27,5,0,13,21,41,11,521
Suad Sehovic,14,63,22,0,1,0,10,22,17,3,152
Marko Todorovic,0,6,1,2,17,9,9,13,0,0,57
Sead Sehovic,39,15,9,3,4,1,4,9,6,1,91
Yudai Baba,77,24,58,20,0,0,11,10,12,1,213
Bojan Dubljevic,0,49,10,4,131,57,21,43,5,0,320
Shuto Ando,2,6,3,1,0,0,0,1,0,1,14
Nikola Ivanovic,253,39,23,35,1,0,3,6,9,9,378
Al-Farouq Aminu,38,36,41,13,18,1,18,21,3,4,193
Xiaochuan Zhai,4,54,30,5,3,1,24,26,3,2,152
Ekpe Udoh,0,1,5,2,13,2,8,7,0,0,38
Zhelin Wang,0,16,24,11,68,27,46,53,0,1,246
Ike Diogu,3,83,49,49,89,35,33,54,11,1,407
Shuo Fang,41,30,8,3,0,0,1,4,9,3,99
Ben Uzoh,62,8,52,10,3,0,15,13,0,4,167
Josh Okogie,20,12,14,5,1,0,1,2,3,5,63
Minghui Sun,43,13,23,3,0,0,0,3,0,1,86
Ike Iroegbu,142,40,77,27,1,1,5,11,7,5,316
Gabe Vincent,11,12,12,2,0,0,1,1,4,5,48
Qi Zhou,1,51,21,3,33,26,38,29,1,0,203
Jianlian Yi,4,76,38,40,109,76,49,46,12,1,451
Stan Okoye,10,12,9,2,2,0,0,2,5,1,43
Michael Eric,0,0,4,0,7,2,3,8,0,0,24
Chimezie Metu,0,11,7,5,6,4,5,8,0,1,47
Ailun Guo,62,7,9,1,0,0,0,4,2,0,85
Rui Zhao,68,16,18,5,0,0,1,6,3,1,118
Jiwei Zhao,68,17,12,8,0,0,0,5,1,4,115
Junfei Ren,2,38,16,6,5,3,7,15,1,0,93
Abudushalamu Abudurexiti,0,31,16,0,6,2,14,21,1,0,91
Hamed Haddadi,0,27,18,14,233,58,95,93,6,3,547
Mark Barroca,17,6,8,3,0,1,2,2,0,1,40
Behnam Yakhchali,155,88,47,18,1,0,29,33,9,16,396
Gabriel Norwood,29,37,40,7,0,2,4,29,3,10,161
Kiefer Ravena,50,24,17,9,0,0,1,4,1,3,109
Mohammad Hassanzadeh,1,10,16,0,18,12,37,38,0,0,132
Andray Blatche,41,111,77,157,110,34,32,63,18,12,655
Mohammad-Samad Nikkah Bahrami,118,79,35,21,7,1,13,15,14,10,313
Japeth Aguilar,1,28,25,7,9,23,58,45,2,4,202
Mohammad Jamshidi,306,93,79,24,1,1,18,20,15,25,582
Paul Dalistan,41,37,18,8,0,0,0,6,6,3,119
Raymond Almazan,0,6,2,0,0,5,17,7,0,1,38
Aaron Geramipoor,0,2,2,0,6,10,10,6,0,0,36
Jaymar Perez,33,13,8,3,0,0,3,7,0,8,75
Troy Rosario,3,28,9,2,1,1,13,21,1,1,80
June Mar Fajardo,0,9,15,3,55,22,60,52,1,0,217
Sajjad Mashayekhi,141,75,78,16,3,0,15,28,4,13,373
Michael Rostampour,1,13,6,0,0,3,1,5,0,1,30
Robert Bolick,24,10,5,4,0,0,1,3,1,0,48
Roger Pogoy,12,50,27,4,0,0,4,14,5,6,122
Rasoul Mozafarivanani,12,3,4,1,0,0,0,7,0,0,27
Danilo Gallinari,31,47,15,51,34,9,12,28,18,1,246
Jorge Bryan Diaz,1,19,15,1,21,63,58,46,1,1,226
Marco Belinelli,290,115,39,64,16,1,23,13,64,35,660
Renaldo Balkman,16,46,66,26,22,72,77,49,6,1,381
David Huertas,60,51,58,31,5,0,8,9,32,8,262
Awudu Abass,28,44,29,6,7,2,8,17,5,3,149
Daniel Hackett,130,52,22,28,17,0,6,6,10,2,273
Gary Browne,111,9,32,34,3,0,5,13,2,9,218
Paul Biligha,0,16,9,1,16,27,13,35,0,0,117
Isaiah Pineiro,5,7,7,1,1,0,3,3,1,0,28
Ariel Filloy,120,46,9,6,0,1,1,6,3,12,204
Devon Collier,2,7,10,5,9,12,18,20,0,1,84
Angel Rodriguez,119,18,30,17,0,0,2,10,4,7,207
Ramon Clemente,0,30,19,5,17,32,42,51,0,0,196
Alex Franklin,2,8,5,4,10,0,4,6,2,0,41
Gian Clavell,45,51,29,10,1,0,3,11,31,9,190
Amedeo Della Valle,64,52,32,8,3,0,1,2,11,4,177
Amedeo Tessitori,0,4,2,1,5,6,6,6,0,0,30
Jeff Brooks,1,8,3,1,6,2,8,14,1,0,44
Javier Mojica,5,14,16,0,0,0,4,3,4,3,49
Andrey Vorontsevich,4,86,13,10,45,19,19,31,11,2,240
Miguel Ruiz,0,2,7,0,6,18,37,70,0,0,140
Vladimir Ivlev,0,3,3,0,9,10,12,15,1,0,53
Nikita Kurbanov,5,46,20,8,62,3,18,27,5,1,195
Mikhail Kulagin,50,23,11,10,0,0,2,0,7,3,106
Nestor Colmenares,8,45,57,34,71,50,65,95,3,1,429
Heissler Guillent,271,63,34,82,1,0,4,14,16,11,496
Jhornan Zamora,11,40,20,3,1,0,3,2,18,1,99
Luis Bethelmy,1,50,20,2,4,10,9,19,8,0,123
Gregory Vargas,269,69,70,60,1,0,9,34,18,15,545
Michael Carrera,2,9,4,3,10,3,2,11,1,0,45
Andrey Sopin,4,3,0,1,0,0,0,0,1,0,9
Vitaly Fridzon,45,113,44,9,2,0,31,30,65,15,354
Andrey Zubkov,3,58,16,11,40,35,25,24,10,1,223
Pedro Chourio,3,17,19,2,0,0,2,5,8,2,58
Grigoriy Motovilov,18,8,3,6,0,0,0,0,1,2,38
Sergey Karasev,43,42,17,11,10,1,9,10,8,5,156
Dwight Lewis,22,61,25,13,5,0,6,12,13,5,162
Evgeny Baburin,4,30,9,0,0,0,0,9,2,0,54
Evgeny Valiev,0,3,4,0,6,4,9,13,0,0,39
Jose Vargas,64,109,61,38,39,1,20,33,35,12,412
Seounghyun Lee,0,31,8,0,22,15,12,12,1,1,102
Chanhee Park,47,14,11,5,0,0,3,5,2,3,90
Vafessa Fofana,2,46,33,0,28,10,12,13,1,2,147
Deon Thompson,0,9,6,1,19,17,8,9,2,0,71
Junyong Choi,14,25,15,8,6,0,4,7,2,3,84
Guna Ra,1,24,17,21,49,17,26,37,1,0,193
Charles Abouo,45,62,36,11,3,0,13,24,6,3,203
Guy Edi,10,21,10,1,1,0,1,3,0,0,47
Souleyman Diabate,262,39,71,25,0,0,7,14,3,9,430
Mohamed Kone,1,11,9,1,41,10,13,20,1,0,107
Sunhyung Kim,88,44,35,8,0,0,9,8,10,13,215
Hoon Heo,11,7,4,1,0,0,0,1,0,4,28
Bryan Pamba,73,22,15,4,2,0,0,8,0,1,125
Hee-jong Yang,4,14,4,1,0,0,0,4,2,2,31
Tiegbe Bamba,18,42,26,3,13,0,11,14,5,2,134
Sangjae Kang,0,25,8,1,6,6,15,13,1,0,75
Frejus Zerbo,0,3,1,1,29,6,8,9,0,0,57
Bali Coulibaly,1,3,5,0,12,3,5,15,0,0,44
Louis Sie,2,1,0,0,0,0,0,0,0,0,3
Salah Mejri,1,32,16,5,23,26,33,31,2,0,169
Yanick Moreira,2,39,49,17,95,49,56,79,3,1,390
Omar Abada,215,62,59,19,1,0,10,15,8,8,397
Carlos Morais,137,68,72,85,10,0,5,9,26,15,427
Michael Roll,145,42,28,29,7,0,13,9,26,9,308
Makram Ben Romdhane,11,99,61,15,91,38,51,73,10,2,451
Valdelicio Joaquim,0,26,5,4,41,16,18,14,2,0,126
Mourad El Mabrouk,196,88,36,20,0,0,3,10,31,15,399
Reggie Moore,2,106,29,13,37,25,14,18,17,0,261
Gerson Domingos,80,30,23,16,0,0,1,8,3,7,168
Leonel Paulo,20,41,67,18,17,0,14,28,2,9,216
Gerson Goncalves,52,29,17,21,1,0,3,12,6,2,143
Nizar Knioua,109,56,9,8,0,0,3,15,2,7,209
Jaques Conceicao,64,29,18,6,0,0,1,5,2,3,128
Ziyed Chennoufi,23,66,28,1,8,1,10,18,8,2,165
Jose Antonio,9,22,10,2,1,0,3,4,1,4,56
Olimpio Cipriano,57,35,29,29,0,0,2,6,11,10,179
Mohamed Hadidane,4,82,32,9,43,13,29,19,11,0,242
Georgios Papagiannis,0,0,6,0,9,13,13,12,0,0,53
Evangelos Mantzaris,41,27,11,7,1,0,0,4,2,4,97
Panagiotis Vasilopoulos,1,34,9,4,20,2,13,7,3,1,94
Domantas Sabonis,1,21,3,0,41,17,22,30,3,2,140
Babacar Toure,0,11,12,0,10,2,13,20,2,0,70
Hamady Ndiaye,1,5,5,1,10,14,17,22,0,0,75
Momar Ndoye,0,1,2,0,1,0,0,3,0,0,7
Furkan Korkmaz,57,49,31,14,0,0,14,13,15,5,198
Sertac Sanli,0,11,1,0,26,49,14,11,0,0,112
Aleksa Popovic,57,23,11,15,2,0,4,11,3,5,131
Yigit Arslan,3,5,0,2,0,0,2,1,2,0,15
Yago Mateus,16,1,5,0,0,0,1,1,0,0,24
Ronald Ramon,72,35,12,16,0,0,1,4,9,5,154
Nathan Sobey,40,17,17,1,1,0,7,5,1,5,94
Ahmad Al Dwairi,0,7,23,12,57,13,30,35,1,0,178
Ahmad Obeid,0,3,1,0,5,1,7,6,0,0,23
Alex Pledger,0,1,6,0,7,10,24,18,0,1,67
Jordan Ngatai,8,47,20,0,3,0,4,15,3,7,107
Kosuke Takeuchi,0,24,19,4,28,13,28,26,2,0,144
Avi Schafer,0,0,1,0,2,1,0,0,0,0,4
Luigi Datome,24,129,32,33,33,22,11,22,31,7,344
Alessandro Gentile,147,106,62,60,52,1,22,33,12,6,501
Luca Vitali,116,29,4,5,5,0,1,13,7,3,183
Junghyun Lee,50,53,28,1,0,0,4,9,27,21,193
Hyo-geun Jeong,10,26,7,1,3,1,4,6,1,1,60
Radhouane Slimane,12,42,22,2,14,0,11,23,9,3,138
Omar Mouhli,29,30,15,2,0,0,0,2,13,3,94
Mohamed Abbassi,0,15,11,3,8,8,13,6,1,0,65
Mokhtar Ghyaza,0,17,3,0,14,5,20,11,0,0,70
Cristopher Brady,0,1,1,0,0,1,0,1,0,0,4
Semen Antonov,0,60,11,3,46,23,23,38,6,0,210
Divaldo Mbunga,0,18,8,3,6,6,7,6,0,0,54
Arman Zangeneh,0,21,4,0,0,6,4,4,0,0,39
Hamed Hosseinzadeh,20,6,2,1,0,0,0,1,0,1,31
Talib Zanna,1,13,7,2,26,7,7,18,0,0,81
Baru Adjehi,1,7,19,0,16,5,22,26,0,0,96
Ryusei Shinoyama,58,25,8,4,0,0,2,4,4,4,109
Rui Hachimura,0,25,22,7,33,11,6,9,4,3,120
Juan Suero,5,1,0,1,0,0,0,1,0,1,9
Paul Lacombe,57,27,21,7,2,0,18,9,5,4,150
Ersan Ilyasova,20,45,20,14,48,27,19,25,39,3,260
Johannes Thiemann,1,13,5,1,24,18,16,32,0,0,110
Nemanja Radovic,0,15,7,1,25,7,7,13,0,0,75
Djibril Thiam,14,31,24,6,1,0,6,10,5,2,99
Javier Beiran,12,20,7,1,9,2,5,9,3,1,69
Windi Graterol,1,64,17,7,21,38,32,42,0,5,227
Dae-sung Lee,38,13,18,3,0,0,1,4,4,6,87
Jong-kyu Kim,0,23,24,2,10,24,26,17,2,1,129
Jayson Tatum,5,7,5,1,3,1,1,3,3,1,30
Augusto Cesar Lima,0,3,5,0,15,12,19,30,0,0,84
Jordan Nwora,9,25,33,5,1,0,3,6,6,1,89
Adjehi Baru,0,1,0,0,0,0,0,0,0,0,1
Eduardo Mingas,4,28,10,9,66,18,26,38,4,1,204
Yago Matheus,37,7,10,1,0,0,0,1,3,1,60
Guy Landry Edi,28,37,39,3,3,0,1,8,12,0,131
Anthony Perez,4,23,16,0,0,1,2,6,7,7,66
Ibrahima Sidibe,57,10,10,5,0,0,0,2,1,1,86
Boubacar Sidibe,0,14,15,1,26,10,19,24,1,0,110
Ibrahim Djambo,19,80,40,13,21,14,35,20,13,4,259
Sourata Cisse,45,46,17,20,14,2,9,8,13,3,177
Nianta Diarra,0,51,18,4,24,15,17,19,4,0,152
Jean-Francois Kebe,17,10,17,5,0,0,2,2,1,0,54
Mamadou Keita,15,28,18,4,0,0,1,5,10,3,84
Hamma Kone,5,2,4,0,0,0,0,0,0,0,11
Herve Lamizana,1,4,1,1,2,0,0,0,0,0,9
Mahamadou Drame,33,14,40,8,2,0,3,8,4,2,114
Benke Diarouma,0,0,2,0,2,3,2,5,0,0,14
Issa Diawara,0,0,2,0,3,3,4,2,0,0,14
Nfaly Kanoute,2,1,0,0,0,0,0,0,0,0,3
Destin Damachoua,150,44,67,33,0,0,3,9,3,2,311
Jean Nshobozwabyosenumukiza,8,2,8,2,0,0,1,1,0,2,24
Romain Sato,1,10,5,3,6,0,4,4,2,0,35
Kenneth Gasana,159,21,43,25,9,2,5,15,11,10,300
Johndre Jefferson,0,9,17,7,22,9,19,17,1,0,101
JeanPaul Rwabigwi,1,14,9,4,8,10,6,10,0,0,62
Max Kouguere,42,81,60,22,13,0,7,13,19,6,263
Dieudonne Ndizeye,15,10,24,2,0,0,7,6,4,1,69
Johan Grebongo,7,61,28,15,16,4,22,30,1,1,185
Olivier Shyaka,2,33,10,6,23,10,23,16,9,1,133
Yannick Zachee,31,7,5,12,1,0,0,1,0,1,58
Jimmy Djimrabaye,1,32,19,12,52,17,32,26,0,1,192
Dylan Schommer,0,2,0,0,0,3,3,1,1,0,10
Sedard Sagamba,27,5,14,6,0,0,3,4,3,3,65
Steven Hagumintwari,7,11,14,6,1,0,3,5,4,1,52
Maxime Zianveni,0,4,3,1,6,5,5,6,1,0,31
Kurt-Curry Wegscheider,5,3,3,1,0,0,0,1,0,0,13
William Kossangue,26,51,43,6,10,0,5,11,1,1,154
Kami Kabange,1,27,32,3,48,21,24,15,3,2,176
Placide Uwizeye,3,0,2,3,0,0,2,0,0,0,10
Jules Richard Aw,1,1,3,1,4,0,7,3,0,0,20
Obi Emegano,29,34,44,6,1,0,5,3,7,1,130
Cheikh Mbodj,0,14,12,2,28,7,23,27,0,1,114
Michael Umeh,67,31,28,14,0,0,11,5,8,4,168
Jeleel Akindele,0,4,11,1,34,4,10,24,0,0,88
Ibe Agu,2,1,3,0,0,0,1,1,0,0,8
Braxton Obgueze,8,9,8,2,0,0,0,4,0,0,31
Alade Aminu,0,18,16,3,33,18,29,27,0,0,144
Thierno Niang,117,20,16,28,0,0,0,2,0,1,184
Maleye Ndoye,11,88,45,3,11,1,5,13,25,4,206
Moise Diame,1,3,1,0,5,0,2,4,0,0,16
Tonye Jekiri,0,0,1,0,1,0,2,3,0,0,7
Pape Diatta,3,2,4,0,0,0,0,0,0,0,9
Darrius Garrett,0,7,9,5,11,7,9,10,0,0,58
Emile Kazeneza,0,1,1,0,0,0,0,1,0,0,3
Ekene Ibekwe,0,8,3,0,8,4,4,10,0,0,37
Keith Omoerah,7,5,6,2,0,0,2,2,0,0,24
Zachary Ouango,1,1,1,0,0,0,0,0,0,0,3
Boubacar Coulibaly,3,1,0,0,0,0,0,0,0,1,5
Kurt Wegscheider,2,6,4,4,0,0,1,2,0,1,20
Mohamed Malick,7,6,8,4,0,0,2,0,0,2,29
Felizardo Ambrosio,0,12,7,2,30,6,14,18,0,0,89
Firas Lahiani,3,30,11,3,19,13,11,9,0,0,99
Lassad Chouya,6,17,6,0,0,0,0,2,1,0,32
Adam El Ghazi,0,8,8,1,29,2,14,17,0,1,80
Placide Nakidjim,0,20,16,6,24,17,29,39,0,0,151
