,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Zhaire Smith,11,20,17,0,0,0,7,9,5,14,83
Shake Milton,72,82,53,7,0,2,18,15,21,21,291
Brandon Sampson,19,34,17,1,0,1,4,3,5,6,90
Rawle Alkins,8,18,10,2,0,0,5,12,2,7,64
Haywood Highsmith,1,6,2,0,0,0,1,2,2,2,16
Yuta Watanabe,10,30,29,5,2,3,2,6,5,5,97
Julian Washburn,11,22,11,2,0,0,2,8,2,3,61
Jevon Carter,255,115,82,40,0,0,8,31,10,21,562
Marcus Derrickson,0,24,5,6,10,7,1,6,4,1,64
Bonzie Colson,2,19,10,2,5,1,7,11,1,2,60
Jalen Brunson,715,249,210,106,28,12,24,50,62,100,1556
Ryan Broekhoff,25,76,45,1,1,6,14,16,40,13,237
Drew Eubanks,0,0,0,1,27,16,16,13,0,0,73
Jemerrio Jones,8,13,7,1,0,0,10,20,0,0,59
Johnathan Williams,2,18,27,5,14,42,46,74,0,0,228
Isaac Bonga,64,67,70,30,0,3,26,63,3,6,332
Elie Okobo,464,137,89,47,2,2,17,27,11,36,832
Ray Spalding,0,3,18,2,3,16,15,16,0,0,73
Mikal Bridges,134,389,249,15,3,16,110,102,57,54,1129
De'Anthony Melton,420,130,173,25,5,1,31,52,16,28,881
Mitchell Creek,0,3,6,0,1,1,4,6,0,0,21
Jordan Loyd,15,12,8,6,0,0,0,2,1,1,45
Kenrich Williams,57,227,123,15,2,5,37,112,26,8,612
Collin Sexton,1485,377,425,323,10,4,84,114,59,163,3044
J.P. Macura,4,7,4,0,0,0,4,1,3,2,25
Troy Brown Jr.,253,226,172,42,4,1,71,91,24,47,931
Gary Clark,13,176,40,4,1,27,11,59,14,0,345
Chris Chiozza,86,21,16,17,0,0,1,4,2,5,152
Daryl Macon,55,9,10,13,0,0,0,3,3,5,98
Deng Adel,4,28,11,3,0,0,0,3,0,1,50
Dusty Hannahs,4,5,4,4,0,0,0,0,2,0,19
Hamidou Diallo,45,140,141,11,1,15,61,76,6,20,516
Deandre Ayton,4,66,101,36,460,310,259,319,17,5,1577
Angel Delgado,0,1,2,0,0,0,4,2,0,0,9
Frank Jackson,265,251,167,33,1,8,44,40,69,65,943
