,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
7733,144,56,64,21,11,0,16,13,39,16,1,,,,,,,,,,,,,,,,,,,,,,
5991,253,39,23,35,1,0,3,6,9,9,2,,,,,,,,,,,,,,,,,,,,,,
6251,147,70,48,27,0,0,4,23,37,21,1,,,,,,,,,,,,,,,,,,,,,,
7130,77,88,67,44,4,0,32,31,21,12,6,,,,,,,,,,,,,,,,,,,,,,
5877,274,25,23,16,0,0,11,12,5,8,2,,,,,,,,,,,,,,,,,,,,,,
5960,145,28,69,59,6,0,9,29,15,13,1,,,,,,,,,,,,,,,,,,,,,,
6029,141,75,78,16,3,0,15,28,4,13,1,,,,,,,,,,,,,,,,,,,,,,
5882,161,44,67,33,4,0,19,8,26,8,1,,,,,,,,,,,,,,,,,,,,,,
6593,193,55,51,38,0,0,3,6,7,14,2,,,,,,,,,,,,,,,,,,,,,,
5938,8,92,25,46,47,51,28,57,6,6,0,,,,,,,,,,,,,,,,,,,,,,
7441,142,64,56,39,0,0,12,15,22,16,1,,,,,,,,,,,,,,,,,,,,,,
6813,2,98,26,26,69,36,52,44,5,4,0,,,,,,,,,,,,,,,,,,,,,,
7843,1,55,20,7,59,84,73,62,0,1,3,,,,,,,,,,,,,,,,,,,,,,
5896,98,85,68,14,0,4,2,11,50,28,6,,,,,,,,,,,,,,,,,,,,,,
5912,0,1,8,2,192,53,55,49,0,0,5,,,,,,,,,,,,,,,,,,,,,,
6066,45,113,44,9,2,0,31,30,65,15,6,,,,,,,,,,,,,,,,,,,,,,
7113,204,61,32,27,0,0,3,12,7,5,2,,,,,,,,,,,,,,,,,,,,,,
7459,195,37,28,52,0,0,6,4,13,13,2,,,,,,,,,,,,,,,,,,,,,,
7539,93,91,56,17,0,0,21,37,28,4,6,,,,,,,,,,,,,,,,,,,,,,
